,department,college_code,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
0,ELECTRICAL ENGINEERING,124:MGMCET,47280001,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,46.0,21.0,0.0,19.0,49.0,21.0,19.0,63.0,21.0,0.0,17.0,66.0,22.0,18.0,['Diploma'],['Diploma'],8.11,7.57,7.04,8.5,8.41,9.08,8.12
8,ELECTRICAL ENGINEERING,124:MGMCET,47280009,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,32.0,20.0,0.0,15.0,32.0,17.0,13.0,51.0,18.0,0.0,17.0,37.0,20.0,15.0,['Diploma'],['Diploma'],5.81,6.61,6.12,6.43,6.19,7.23,6.4
9,ELECTRICAL ENGINEERING,124:MGMCET,47280010,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,48.0,18.0,0.0,15.0,42.0,18.0,17.0,38.0,17.0,0.0,15.0,33.0,19.0,14.0,['Diploma'],['Diploma'],5.96,5.57,6.5,6.18,6.74,7.0,6.33
14,ELECTRICAL ENGINEERING,124:MGMCET,47280015,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,45.0,18.0,0.0,15.0,37.0,20.0,15.0,43.0,18.0,0.0,17.0,42.0,23.0,18.0,['Diploma'],['Diploma'],7.11,6.71,6.31,6.32,6.81,7.62,6.81
16,ELECTRICAL ENGINEERING,124:MGMCET,47280017,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,18.0,0.0,15.0,47.0,21.0,8.0,52.0,21.0,0.0,17.0,50.0,23.0,19.0,['Diploma'],['Diploma'],7.93,7.89,8.02,8.0,8.11,7.92,7.98
18,ELECTRICAL ENGINEERING,124:MGMCET,47280019,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,43.0,19.0,0.0,15.0,34.0,18.0,15.0,49.0,18.0,0.0,13.0,37.0,21.0,18.0,['Diploma'],['Diploma'],7.15,6.39,6.23,5.32,6.7,7.35,6.52
19,ELECTRICAL ENGINEERING,124:MGMCET,47280020,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,45.0,14.0,0.0,14.0,39.0,20.0,16.0,58.0,20.0,0.0,16.0,45.0,23.0,19.0,['Diploma'],['Diploma'],7.3,7.04,7.35,7.46,7.67,7.85,7.45
20,ELECTRICAL ENGINEERING,124:MGMCET,47280021,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,35.0,16.0,0.0,15.0,48.0,22.0,14.0,53.0,22.0,0.0,18.0,59.0,23.0,19.0,['Diploma'],['Diploma'],7.74,7.75,8.5,8.25,7.7,8.35,8.05
22,ELECTRICAL ENGINEERING,124:MGMCET,47280023,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,47.0,19.0,0.0,17.0,34.0,21.0,11.0,50.0,22.0,0.0,16.0,41.0,21.0,16.0,['Diploma'],['Diploma'],7.89,7.18,7.81,7.21,7.67,7.65,7.57
27,ELECTRICAL ENGINEERING,124:MGMCET,47280028,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,52.0,20.0,0.0,18.0,50.0,24.0,20.0,44.0,23.0,0.0,18.0,43.0,23.0,18.0,['Diploma'],['Diploma'],7.3,7.18,8.62,7.61,8.41,8.46,7.93
