college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,39280070,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,65.0,20.0,21.0,15.0,58.0,24.0,13.0,60.0,22.0,19.0,18.0,60.0,20.0,12.0,['Diploma'],['Diploma'],7.29,6.79,6.52,6.3,7.88,8.44,6.99
10:MHSSCE,CIVIL,43280073,CEE8045:BRIDGE,P,CEC801,CEC802,CEC803,ELECTIVEII,60.0,23.0,24.0,18.0,65.0,24.0,20.0,67.0,24.0,24.0,19.0,74.0,24.0,20.0,['Diploma'],['Diploma'],9.59,9.77,9.6,9.61,10.0,9.67,9.48
10:MHSSCE,COMPUTER ENGINEERING,45280061,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,70.0,24.0,23.0,20.0,65.0,21.0,20.0,62.0,24.0,24.0,20.0,67.0,24.0,20.0,['Diploma'],['Diploma'],8.46,9.71,9.92,10.0,9.68,9.7,9.56
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181070,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,66.0,22.0,22.0,19.0,63.0,22.0,17.0,62.0,23.0,21.0,16.0,54.0,23.0,16.0,['Diploma'],['Diploma'],8.23,7.29,9.63,9.29,8.67,8.81,8.41
10:MHSSCE,ELECTRONICS ENGINEERING,50280052,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,58.0,23.0,23.0,18.0,65.0,24.0,17.0,67.0,24.0,23.0,18.0,62.0,23.0,19.0,['Diploma'],['Diploma'],6.58,7.82,8.57,8.96,8.33,8.5,7.69
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,51280065,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,68.0,24.0,24.0,20.0,63.0,24.0,19.0,63.0,24.0,24.0,20.0,61.0,24.0,20.0,['Diploma'],['Diploma'],9.11,9.86,9.38,9.68,9.41,9.38,9.36
10:MHSSCE,MECHANICAL,53280069,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,72.0,24.0,24.0,18.0,61.0,24.0,20.0,68.0,24.0,24.0,20.0,72.0,23.0,20.0,['Diploma'],['Diploma'],9.92,9.82,9.78,9.54,9.7,9.4,9.31
116:CSM INST,CIVIL,43280089,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,57.0,24.0,24.0,18.0,61.0,39.0,17.0,64.0,39.0,24.0,17.0,62.0,42.0,18.0,['Diploma'],['Diploma'],7.33,7.23,8.13,8.21,8.81,8.67,7.92
116:CSM INST,COMPUTER ENGINEERING,7187001,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,63.0,24.0,24.0,15.0,57.0,23.0,18.0,41.0,24.0,24.0,15.0,52.0,23.0,11.0,['Diploma'],['Diploma'],5.82,5.79,6.33,7.77,7.6,7.93,6.75
116:CSM INST,MECHANICAL,53280304,MEE8024:BUSINESS,P,MEC801,MEC802,MEC803,ELECTIVEII,68.0,24.0,23.0,16.0,64.0,42.0,19.0,65.0,45.0,24.0,19.0,64.0,34.0,20.0,['Diploma'],['Diploma'],7.96,7.46,7.44,7.57,8.19,9.0,7.59
124:MGMCET,CIVIL,43280236,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,67.0,23.0,23.0,20.0,75.0,23.0,18.0,70.0,24.0,23.0,17.0,71.0,23.0,17.0,['Diploma'],['Diploma'],8.85,9.65,9.4,9.14,9.19,9.13,9.09
124:MGMCET,COMPUTER ENGINEERING,45280355,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,71.0,23.0,23.0,19.0,68.0,23.0,19.0,64.0,23.0,22.0,19.0,61.0,22.0,17.0,['Diploma'],['Diploma'],7.36,7.0,8.38,8.67,9.12,9.56,7.93
124:MGMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181396,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,66.0,21.0,23.0,19.0,66.0,22.0,17.0,60.0,32.0,21.0,19.0,65.0,43.0,19.0,['Diploma'],['Diploma'],6.88,7.61,8.33,7.39,8.48,8.85,7.77
124:MGMCET,INFORMATION TECHNOLOGY ENGINEERING,51280302,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,68.0,23.0,22.0,17.0,66.0,23.0,17.0,57.0,22.0,23.0,15.0,64.0,22.0,16.0,['Diploma'],['Diploma'],6.82,7.82,8.12,8.4,8.48,8.08,7.86
124:MGMCET,MECHANICAL,53280490,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,69.0,24.0,24.0,19.0,68.0,55.0,18.0,71.0,45.0,23.0,19.0,67.0,50.0,19.0,['Diploma'],['Diploma'],8.92,8.82,8.63,8.82,8.93,9.52,8.79
126:SAKEC,COMPUTER ENGINEERING,45280571,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,70.0,22.0,22.0,19.0,68.0,24.0,20.0,66.0,24.0,22.0,20.0,66.0,24.0,20.0,['Diploma'],['Diploma'],8.71,9.64,9.04,9.92,8.88,9.56,9.05
126:SAKEC,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181475,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,64.0,23.0,22.0,16.0,60.0,24.0,20.0,64.0,23.0,22.0,17.0,57.0,22.0,16.0,['Diploma'],['Diploma'],8.77,9.14,9.81,8.61,7.52,8.42,8.45
