college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,39280001,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,35.0,12.0,12.0,10.0,32.0,10.0,8.0,38.0,12.0,14.0,9.0,32.0,12.0,8.0,5.24,5.13,5.25,5.04,4.78,4.78,5.62,5.88,5.57
10:MHSSCE,CIVIL,6181001,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,10.0,12.0,8.0,32.0,16.0,9.0,34.0,12.0,10.0,8.0,32.0,13.0,6.0,4.8,5.3,4.48,4.65,4.88,4.89,5.89,5.46,5.34
10:MHSSCE,COMPUTER ENGINEERING,7181001,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,10.0,14.0,9.0,39.0,11.0,11.0,32.0,14.0,17.0,9.0,26.0,0.0,8.0,4.44,5.17,4.61,4.75,5.0,4.92,6.16,6.67,5.46
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181001,ETE801:SPEECH,P,ETC801,ETC802,ETC803,ELECTIVEII,35.0,10.0,16.0,8.0,32.0,11.0,8.0,32.0,17.0,16.0,8.0,25.0,0.0,8.0,4.74,5.26,5.12,4.75,5.11,4.96,5.11,5.46,5.29
10:MHSSCE,ELECTRONICS ENGINEERING,11181002,EXC8041:ROBOTICS,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,10.0,10.0,8.0,32.0,10.0,7.0,32.0,11.0,10.0,8.0,32.0,10.0,8.0,4.63,5.14,4.27,4.5,4.64,4.74,5.26,5.92,4.99
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,12181003,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,15.0,19.0,10.0,25.0,0.0,8.0,13.0,20.0,20.0,13.0,21.0,12.0,10.0,4.89,5.0,4.5,4.61,5.15,4.96,5.26,6.54,5.44
10:MHSSCE,MECHANICAL,14181002,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,13.0,10.0,8.0,32.0,15.0,9.0,32.0,12.0,2.0,6.0,32.0,12.0,9.0,5.46,5.67,5.75,5.07,4.93,4.96,6.04,6.44,6.06
116:CSM INST,CIVIL,6181088,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,20.0,21.0,8.0,32.0,20.0,10.0,32.0,20.0,21.0,10.0,43.0,20.0,13.0,5.17,5.93,5.19,5.6,6.3,6.25,6.7,6.5,6.25
116:CSM INST,COMPUTER ENGINEERING,7181220,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,23.0,24.0,11.0,36.0,22.0,17.0,37.0,22.0,23.0,13.0,44.0,23.0,10.0,5.85,6.67,5.64,5.96,6.92,6.73,7.44,7.48,6.76
116:CSM INST,MECHANICAL,14181239,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,28.0,0.0,20.0,8.0,22.0,20.0,11.0,20.0,20.0,20.0,8.0,21.0,20.0,11.0,5.3,5.31,5.58,4.93,4.89,5.0,6.26,6.8,5.81
124:MGMCET,CIVIL,6181186,CEE80414:DESIGN,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,10.0,2.0,6.0,32.0,10.0,8.0,32.0,11.0,11.0,8.0,32.0,12.0,7.0,4.44,4.33,4.56,4.31,4.44,4.64,5.0,5.46,4.96
124:MGMCET,COMPUTER ENGINEERING,7181230,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,34.0,11.0,12.0,10.0,33.0,10.0,10.0,25.0,0.0,11.0,8.0,21.0,0.0,8.0,4.67,4.52,4.46,4.54,4.12,4.54,5.32,5.67,5.02
124:MGMCET,ELECTRICAL ENGINEERING,8181001,EEE801:FLEXIBLE,P,EEC801,EEC802,EEC803,ELECTIVEII,25.0,12.0,0.0,10.0,32.0,14.0,8.0,32.0,16.0,0.0,9.0,32.0,16.0,9.0,4.96,4.82,4.85,4.89,4.85,5.14,5.48,5.88,5.38
124:MGMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181232,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,25.0,0.0,17.0,8.0,18.0,12.0,10.0,19.0,13.0,13.0,10.0,19.0,12.0,11.0,4.83,5.19,4.54,4.54,4.52,4.82,5.56,6.42,5.34
124:MGMCET,INFORMATION TECHNOLOGY ENGINEERING,12181230,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,13.0,14.0,9.0,32.0,11.0,9.0,32.0,12.0,12.0,8.0,32.0,12.0,9.0,4.78,4.89,4.64,4.82,4.85,4.48,5.37,5.85,5.22
124:MGMCET,MECHANICAL,14181372,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,28.0,0.0,17.0,8.0,21.0,12.0,8.0,22.0,0.0,1.0,6.0,11.0,10.0,10.0,4.74,4.71,5.0,4.83,4.89,4.75,5.44,6.0,5.47
126:SAKEC,COMPUTER ENGINEERING,7181336,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,34.0,11.0,15.0,8.0,25.0,0.0,8.0,19.0,12.0,11.0,8.0,19.0,12.0,8.0,5.26,5.35,4.57,5.11,4.38,5.25,4.96,6.04,5.42
126:SAKEC,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181397,ETE801:SPEECH,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,15.0,15.0,8.0,32.0,12.0,8.0,32.0,15.0,15.0,8.0,32.0,12.0,8.0,5.65,5.48,5.38,4.79,4.96,4.54,5.19,5.31,5.21
126:SAKEC,ELECTRONICS ENGINEERING,11181132,EXC8041:ROBOTICS,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,12.0,15.0,8.0,33.0,10.0,8.0,32.0,13.0,15.0,9.0,32.0,12.0,9.0,4.65,4.61,4.42,4.64,4.82,4.78,4.85,6.04,5.12
126:SAKEC,INFORMATION TECHNOLOGY ENGINEERING,12181296,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,16.0,17.0,8.0,32.0,14.0,10.0,32.0,15.0,16.0,9.0,32.0,16.0,9.0,4.37,4.7,4.66,4.36,4.93,4.5,6.22,6.54,5.45
174:RAIT,COMPUTER ENGINEERING,7181553,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,33.0,14.0,15.0,8.0,32.0,14.0,8.0,32.0,14.0,13.0,8.0,32.0,10.0,8.0,5.13,4.19,4.57,4.54,5.17,4.96,5.8,6.04,5.56
174:RAIT,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181479,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,18.0,18.0,8.0,32.0,16.0,8.0,25.0,0.0,17.0,8.0,19.0,0.0,8.0,5.3,5.09,4.88,4.68,4.96,4.68,5.07,5.96,5.5
174:RAIT,ELECTRONICS ENGINEERING,11181285,EXC8041:ROBOTICS,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,11.0,11.0,8.0,32.0,12.0,8.0,32.0,11.0,12.0,8.0,32.0,12.0,8.0,4.78,4.93,4.62,4.54,4.54,4.56,4.63,5.29,5.21
174:RAIT,INFORMATION TECHNOLOGY ENGINEERING,12181446,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,14.0,12.0,8.0,32.0,12.0,8.0,32.0,13.0,13.0,8.0,32.0,14.0,8.0,4.83,4.89,4.57,4.36,4.77,4.36,5.3,6.0,5.19
174:RAIT,INSTRUMENTATION ENGINEERING,13181075,ISE8041:NUCLEAR,P,ISC801,ISC802,ISC803,ELECTIVEII,26.0,13.0,12.0,8.0,32.0,11.0,8.0,32.0,12.0,11.0,8.0,32.0,11.0,8.0,4.94,4.78,4.41,4.85,4.89,4.57,5.43,6.08,5.39
17:BVCE,COMPUTER ENGINEERING,7181077,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,16.0,15.0,10.0,34.0,13.0,10.0,32.0,14.0,15.0,8.0,32.0,17.0,8.0,4.83,4.81,4.43,4.71,5.0,5.29,6.16,6.19,5.58
17:BVCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181074,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,14.0,13.0,8.0,28.0,0.0,6.0,17.0,13.0,8.0,8.0,20.0,14.0,9.0,4.78,5.0,4.73,4.93,5.19,4.93,5.33,5.81,5.53
17:BVCE,INFORMATION TECHNOLOGY ENGINEERING,12181068,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,18.0,18.0,11.0,28.0,0.0,9.0,18.0,0.0,15.0,10.0,21.0,0.0,8.0,4.77,5.39,4.93,4.96,4.92,4.76,5.56,6.38,5.49
17:BVCE,INSTRUMENTATION ENGINEERING,13181001,ISE8042:POWER,P,ISC801,ISC802,ISC803,ELECTIVEII,25.0,17.0,10.0,8.0,33.0,15.0,8.0,32.0,12.0,11.0,8.0,32.0,12.0,8.0,4.4,4.32,4.63,5.0,4.75,5.11,5.29,5.85,5.35
17:BVCE,MECHANICAL,14181076,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,15.0,8.0,22.0,11.0,8.0,21.0,0.0,15.0,8.0,18.0,16.0,9.0,5.09,5.19,5.54,5.04,5.26,4.93,5.67,6.72,5.87
237:TEC,COMPUTER ENGINEERING,7181769,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,12.0,12.0,11.0,32.0,10.0,8.0,32.0,10.0,11.0,9.0,28.0,0.0,8.0,4.72,4.94,4.71,4.79,4.7,4.75,5.84,6.41,5.62
237:TEC,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181789,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,15.0,17.0,11.0,32.0,10.0,8.0,26.0,0.0,12.0,8.0,16.0,17.0,9.0,5.15,5.5,4.73,4.93,4.85,5.32,5.7,6.5,5.74
237:TEC,ELECTRONICS ENGINEERING,11181585,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,11.0,10.0,8.0,32.0,17.0,8.0,28.0,0.0,14.0,9.0,15.0,1.0,7.0,4.97,5.0,4.74,4.61,4.89,5.19,5.44,5.67,5.43
237:TEC,INFORMATION TECHNOLOGY ENGINEERING,12181601,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,34.0,17.0,16.0,9.0,28.0,0.0,8.0,20.0,17.0,15.0,8.0,21.0,18.0,9.0,4.74,4.74,4.93,4.64,4.58,4.76,5.11,5.88,5.22
237:TEC,MECHANICAL,14181526,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,32.0,16.0,17.0,10.0,32.0,11.0,10.0,32.0,15.0,14.0,12.0,32.0,16.0,13.0,5.22,5.28,4.54,4.89,4.7,5.11,6.63,7.08,5.85
