university,page_no,department,result_sem,exam_held_on,college_code,result_date,seat_no,elective,result,c1,c2,c3,c4,c5,c6,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_or,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_or,c4_in,c5_tw,c5_or,c6_tw,c6_or,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi,0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181001,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,53,20,21,16,56,19,18,19,52,19,20,18,43,20,21,16,20,--,40,42,['SEM-I:6.52'],['SEM-II:6.89'],['SEM-III:6.50'],['SEM-IV:5.82'],['SEM-V:7.13'],['SEM-VI:8.17'],['SEM-VII:8.64'],8.41,['CGPI:7.26'],15.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181002,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,67,24,24,20,60,21,19,20,64,24,24,19,54,23,23,17,24,--,48,48,['SEM-I:7.22'],['SEM-II:6.93'],['SEM-III:8.54'],['SEM-IV:8.18'],['SEM-V:8.42'],['SEM-VI:8.42'],['SEM-VII:9.04'],9.70,['CGPI:8.31'],24.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181003,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,54,21,20,19,63,18,18,20,55,24,22,20,52,22,21,19,23,--,47,45,[],[],['SEM-III:6.79'],['SEM-IV:9.00'],['SEM-V:9.42'],['SEM-VI:9.67'],['SEM-VII:8.96'],9.19,['CGPI:8.84'],33.0
"UNIVERSITY OF MUMBAI 
",1,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181004,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,51,21,20,19,60,20,18,20,47,23,21,18,52,22,23,20,21,--,48,48,['SEM-I:6.20'],['SEM-II:6.11'],['SEM-III:5.82'],['SEM-IV:6.54'],['SEM-V:6.79'],['SEM-VI:8.71'],['SEM-VII:7.96'],8.93,['CGPI:7.13'],42.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181005,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,20,19,16,55,18,19,17,37,22,20,18,41,20,20,18,23,--,40,42,['SEM-I:6.41'],['SEM-II:6.13'],['SEM-III:5.96'],['SEM-IV:6.82'],['SEM-V:7.42'],['SEM-VI:7.50'],['SEM-VII:8.36'],8.11,['CGPI:7.09'],79.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181006,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,38,12,18,14,40,14,19,15,39,14,17,17,45,11,16,15,18,--,40,35,['SEM-I:7.44'],['SEM-II:7.33'],['SEM-III:7.39'],['SEM-IV:6.57'],['SEM-V:6.96'],['SEM-VI:6.00'],['SEM-VII:6.56'],7.00,['CGPI:6.91'],88.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181007,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,56,20,20,20,58,15,20,20,44,23,22,19,50,20,22,19,19,--,41,39,[],[],['SEM-III:8.29'],['SEM-IV:9.57'],['SEM-V:9.67'],['SEM-VI:9.79'],['SEM-VII:9.16'],8.70,['CGPI:9.20'],97.0
"UNIVERSITY OF MUMBAI 
",2,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181008,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,65,20,19,19,62,17,21,18,52,24,24,20,43,22,22,19,21,--,46,46,[],[],['SEM-III:7.96'],['SEM-IV:8.11'],['SEM-V:9.00'],['SEM-VI:9.13'],['SEM-VII:8.80'],9.19,['CGPI:8.70'],106.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181009,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,47,22,21,16,43,22,18,17,40,23,24,17,40,24,23,17,22,--,49,48,['SEM-I:5.56'],['SEM-II:6.78'],['SEM-III:5.93'],['SEM-IV:6.07'],['SEM-V:6.42'],['SEM-VI:6.96'],['SEM-VII:8.20'],7.93,['CGPI:6.73'],143.0
"UNIVERSITY OF MUMBAI 
",3,(COMPUTER ENGINEERING),VIII)(CBSGS),MAY 2019,NAME:10:MHSSCE,"JULY 04, 2019",7181010,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVE-III,CPL801,CPP802,55,19,20,19,52,18,18,19,39,24,21,20,45,22,22,19,22,--,40,38,[],[],['SEM-III:7.07'],['SEM-IV:8.04'],['SEM-V:9.00'],['SEM-VI:8.92'],['SEM-VII:8.64'],8.04,['CGPI:8.29'],152.0
