college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,39280071,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,70.0,22.0,24.0,19.0,69.0,24.0,18.0,68.0,23.0,23.0,20.0,56.0,23.0,17.0,9.44,9.11,9.33,8.43,9.0,8.78,9.23,9.4,9.06
10:MHSSCE,CIVIL,43280076,CEE8045:BRIDGE,P,CEC801,CEC802,CEC803,ELECTIVEII,61.0,24.0,24.0,20.0,76.0,24.0,20.0,71.0,24.0,24.0,20.0,68.0,24.0,20.0,10.0,9.63,9.7,9.88,10.0,9.86,9.41,9.63,9.52
10:MHSSCE,COMPUTER ENGINEERING,45280075,CPE8035:BIG,P,CPC801,CPC802,CPC803,ELECTIVEIII,70.0,24.0,24.0,20.0,69.0,24.0,20.0,66.0,25.0,24.0,20.0,66.0,24.0,20.0,9.41,9.63,9.89,9.71,10.0,10.0,10.0,9.85,9.38
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181073,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,66.0,24.0,24.0,20.0,66.0,23.0,19.0,61.0,23.0,22.0,16.0,62.0,23.0,19.0,8.22,8.07,9.08,8.71,9.56,9.36,8.44,8.77,8.52
10:MHSSCE,ELECTRONICS ENGINEERING,50280057,EXC8042:MOBILE,P,EXC801,EXC802,EXC803,ELECTIVEII,70.0,24.0,24.0,20.0,71.0,24.0,19.0,70.0,25.0,24.0,20.0,76.0,24.0,20.0,9.11,9.52,9.85,9.86,10.0,9.85,9.41,9.5,9.4
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,51280070,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,67.0,24.0,24.0,20.0,66.0,24.0,20.0,65.0,39.0,24.0,20.0,66.0,42.0,20.0,8.96,9.3,9.64,9.71,10.0,10.0,9.56,9.23,9.35
10:MHSSCE,MECHANICAL,53280073,MEE8026:AUTOMOBILE,P,MEC801,MEC802,MEC803,ELECTIVEII,68.0,24.0,24.0,18.0,64.0,24.0,20.0,73.0,24.0,24.0,20.0,69.0,24.0,20.0,9.69,9.96,9.83,9.61,9.37,9.86,9.85,9.48,9.36
116:CSM INST,CIVIL,43280088,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,44.0,24.0,24.0,18.0,54.0,24.0,18.0,55.0,24.0,24.0,19.0,60.0,24.0,17.0,6.43,7.26,7.93,7.85,8.0,8.0,8.52,8.67,7.83
116:CSM INST,COMPUTER ENGINEERING,7181228,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,54.0,24.0,24.0,18.0,49.0,23.0,18.0,50.0,23.0,24.0,18.0,54.0,24.0,19.0,6.48,6.98,6.96,7.39,7.92,8.91,8.08,8.37,7.42
116:CSM INST,MECHANICAL,53280328,MEE8024:BUSINESS,P,MEC801,MEC802,MEC803,ELECTIVEII,55.0,24.0,24.0,17.0,67.0,48.0,20.0,65.0,34.0,24.0,20.0,69.0,52.0,20.0,7.61,8.96,8.67,8.39,8.15,8.36,8.7,9.04,8.37
124:MGMCET,CIVIL,43280237,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,63.0,23.0,23.0,19.0,66.0,23.0,19.0,72.0,24.0,24.0,18.0,70.0,23.0,19.0,9.39,9.19,9.11,8.81,8.96,9.0,9.19,9.83,8.61
124:MGMCET,COMPUTER ENGINEERING,45280353,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,71.0,24.0,24.0,19.0,72.0,23.0,20.0,65.0,24.0,24.0,20.0,68.0,51.0,20.0,9.59,9.41,8.64,8.75,8.71,9.17,9.64,9.41,8.59
124:MGMCET,ELECTRICAL ENGINEERING,47280073,EEE802:ELECTRIC,P,EEC801,EEC802,EEC803,ELECTIVEII,62.0,23.0,0.0,19.0,64.0,24.0,19.0,63.0,23.0,0.0,19.0,64.0,24.0,20.0,8.3,9.15,9.26,9.61,9.19,9.32,9.07,9.08,8.79
