university,page_no,department,exam_held_on,college_code,result_date,seat_no,elective,result,c1,c2,c3,c4,c5,c6,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_or,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_or,c4_in,c5_tw,c5_or,c6_tw,c6_or,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280001,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,77,23,22,16,50,22,23,15,55,21,23,16,58,23,23,16,45,45,,,['8.74'],['8.33'],['8.96'],['9.41'],['9.54'],['9.32'],['8.39'],8.92,['8.95']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280002,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,66,22,20,15,59,19,20,15,53,18,18,16,50,21,21,14,41,48,,,['6.15'],['6.48'],['7.74'],['7.78'],['7.29'],['8.39'],['8.21'],8.65,['7.59']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280003,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,63,24,20,16,57,22,24,14,51,18,20,16,47,22,23,16,44,47,,,['5.44'],['7.00'],['8.11'],['7.26'],['7.93'],['9.36'],['8.54'],8.58,['7.78']
"UNIVERSITY OF MUMBAI 
",1,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280004,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,39,20,14,10,46,16,18,12,45,20,14,12,41,17,17,10,38,40,,,['5.07'],['5.76'],['5.48'],['5.30'],['5.36'],['0.00'],['6.07'],6.69,['--']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280005,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,59,24,22,18,56,21,21,16,61,23,24,20,52,23,20,19,41,48,,,['7.89'],['7.57'],['9.26'],['8.52'],['8.50'],['9.00'],['9.04'],9.23,['8.63']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280006,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,41,18,17,13,53,20,18,13,50,18,19,10,50,21,20,13,42,42,,,['5.61'],['6.46'],['5.81'],['5.96'],['7.32'],['7.29'],['7.29'],7.81,['6.69']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280007,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,38,18,10,13,52,21,18,11,40,19,20,11,41,17,19,10,39,42,,,['Diploma'],['Diploma'],['6.78'],['6.70'],['6.93'],['6.75'],['6.11'],7.38,['6.78']
"UNIVERSITY OF MUMBAI 
",2,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280008,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,51,16,14,10,42,16,15,8,41,16,14,8,47,17,17,10,38,38,,,['Diploma'],['Diploma'],['5.70'],['5.81'],['6.18'],['5.50'],['5.86'],6.85,['5.98']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280009,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,45,23,21,10,42,21,18,10,57,18,17,9,53,21,21,9,41,40,,,['Diploma'],['Diploma'],['7.04'],['6.26'],['6.86'],['6.89'],['7.46'],7.73,['7.04']
"UNIVERSITY OF MUMBAI 
",3,"['(INSTRUMENTATION', 'ENGINEERING)']",MAY 2018,['NAME:17:BVCE'],"JULY 10, 2018",52280010,['ISE8042:POWER'],P,['ISC801'],['ISC802'],['ISC803'],['ELECTIVE-II'],['ISP805'],,57,24,24,13,47,23,24,17,65,21,22,18,57,23,21,18,43,48,,,['7.22'],['7.81'],['8.22'],['8.11'],['7.18'],['8.46'],['8.64'],9.08,['8.09']
