college_code,department,seat_no,elective,result,c1,c2,c3,c4,c1_th,c1_tw,c1_or,c1_in,c2_th,c2_tw,c2_in,c3_th,c3_tw,c3_or,c3_in,c4_th,c4_tw,c4_in,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi
10:MHSSCE,AUTOMOBILE ENGINEERING,39280008,AEE8022:VEHICLE,P,AEC801,AEC802,AEC803,ELECTIVEII,40.0,10.0,10.0,9.0,42.0,10.0,8.0,41.0,10.0,12.0,9.0,32.0,11.0,9.0,['Diploma'],['Diploma'],5.38,5.46,5.15,4.56,5.42,6.44,5.48
10:MHSSCE,CIVIL,6181004,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,15.0,16.0,9.0,35.0,19.0,10.0,37.0,16.0,14.0,9.0,40.0,18.0,9.0,['Diploma'],['Diploma'],6.15,6.27,6.72,6.39,7.44,6.88,6.66
10:MHSSCE,COMPUTER ENGINEERING,7181003,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,42.0,16.0,17.0,14.0,45.0,13.0,15.0,32.0,18.0,17.0,14.0,33.0,14.0,13.0,['Diploma'],['Diploma'],5.11,5.75,7.5,6.96,7.08,8.04,7.33
10:MHSSCE,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181002,ETE801:SPEECH,P,ETC801,ETC802,ETC803,ELECTIVEII,38.0,10.0,14.0,11.0,39.0,16.0,9.0,32.0,19.0,17.0,8.0,33.0,15.0,10.0,['Diploma'],['Diploma'],5.23,4.71,5.74,5.61,5.74,6.96,5.97
10:MHSSCE,ELECTRONICS ENGINEERING,11181001,EXC8041:ROBOTICS,P,EXC801,EXC802,EXC803,ELECTIVEII,32.0,10.0,10.0,10.0,32.0,10.0,8.0,32.0,10.0,10.0,8.0,35.0,10.0,8.0,['Diploma'],['Diploma'],4.77,4.64,5.14,4.7,5.41,5.67,5.58
10:MHSSCE,INFORMATION TECHNOLOGY ENGINEERING,12181001,ITC8045:SOFT,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,16.0,20.0,14.0,32.0,11.0,11.0,33.0,20.0,20.0,14.0,33.0,15.0,12.0,['Diploma'],['Diploma'],4.82,5.11,5.69,5.64,6.41,7.19,6.15
10:MHSSCE,MECHANICAL,14181003,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,38.0,12.0,15.0,8.0,36.0,13.0,14.0,38.0,14.0,18.0,11.0,35.0,14.0,10.0,['Diploma'],['Diploma'],6.63,6.79,6.59,6.21,6.33,7.24,6.94
116:CSM INST,CIVIL,6181079,CEE80415:INDUSTRIAL,P,CEC801,CEC802,CEC803,ELECTIVEII,25.0,0.0,20.0,8.0,20.0,20.0,8.0,21.0,20.0,20.0,8.0,21.0,20.0,8.0,['Diploma'],['Diploma'],4.73,4.48,5.23,5.07,5.74,6.33,5.62
116:CSM INST,COMPUTER ENGINEERING,7181222,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,18.0,12.0,9.0,33.0,21.0,14.0,32.0,20.0,22.0,13.0,32.0,20.0,9.0,['Diploma'],['Diploma'],5.11,4.68,5.29,6.36,6.8,7.04,6.04
116:CSM INST,MECHANICAL,14181237,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,25.0,0.0,20.0,8.0,22.0,20.0,8.0,24.0,20.0,20.0,8.0,21.0,20.0,8.0,['Diploma'],['Diploma'],5.33,4.57,4.78,5.25,5.33,6.56,5.68
124:MGMCET,CIVIL,6181189,CEE80414:DESIGN,P,CEC801,CEC802,CEC803,ELECTIVEII,32.0,11.0,11.0,8.0,35.0,11.0,8.0,37.0,11.0,11.0,10.0,34.0,12.0,9.0,['Diploma'],['Diploma'],5.22,5.13,4.88,4.71,4.96,5.83,5.43
124:MGMCET,COMPUTER ENGINEERING,7181229,CPE8031:MACHINE,P,CPC801,CPC802,CPC803,ELECTIVEIII,32.0,13.0,12.0,10.0,36.0,11.0,9.0,32.0,11.0,11.0,9.0,32.0,12.0,10.0,['Diploma'],['Diploma'],4.46,4.32,4.58,4.83,5.6,5.78,5.4
124:MGMCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,10181233,ETE802:TELECOM,P,ETC801,ETC802,ETC803,ELECTIVEII,32.0,13.0,16.0,8.0,28.0,0.0,9.0,19.0,12.0,14.0,9.0,20.0,12.0,10.0,['Diploma'],['Diploma'],4.65,4.46,4.78,4.5,5.11,5.96,5.15
124:MGMCET,INFORMATION TECHNOLOGY ENGINEERING,12181233,ITC8046:SOFTWARE,P,ITC801,ITC802,ITC803,ELECTIVEII,32.0,10.0,11.0,9.0,32.0,10.0,9.0,32.0,10.0,10.0,8.0,26.0,0.0,8.0,['Diploma'],['Diploma'],4.68,4.07,4.69,4.48,5.26,4.88,4.99
124:MGMCET,MECHANICAL,14181384,MEE8022:RENEWABLE,P,MEC801,MEC802,MEC803,ELECTIVEII,27.0,0.0,16.0,10.0,23.0,14.0,8.0,23.0,13.0,1.0,7.0,23.0,13.0,11.0,['Diploma'],['Diploma'],5.28,5.14,5.04,5.14,5.85,6.68,5.81
